Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.00235945, 0.00183511, 0.000523533, 2.179e-06, 19019, 12541, 81
0.00395616, 0.00225349, 0.00169958, 3.597e-06, 19287, 14372, 135
0.003382, 0.00212668, 0.00125346, 1.91e-06, 19229, 13019, 54
0.00364022, 0.00231987, 0.00131864, 4.317e-06, 19350, 13756, 162
0.00226651, 0.00156807, 0.000697692, 2.894e-06, 19489, 13142, 135
0.00368978, 0.00229257, 0.00139555, 5.605e-06, 19455, 13533, 243
0.00315784, 0.00251107, 0.000644607, 6.257e-06, 19380, 11688, 162
0.00323545, 0.00259727, 0.00063642, 2.596e-06, 19725, 12087, 54
0.00359131, 0.0030677, 0.000522331, 9.82e-07, 19262, 13402, 27
0.0024034, 0.00195878, 0.000442941, 2.907e-06, 18952, 14160, 135
0.0037591, 0.00310266, 0.000652947, 2.009e-06, 18617, 14454, 54
0.00292913, 0.00244767, 0.000479369, 2.477e-06, 18421, 14685, 108
0.00354957, 0.00247547, 0.00107303, 1.482e-06, 18371, 15982, 54
0.00131847, 0.000832871, 0.000485209, 1.782e-06, 18426, 15999, 189
0.00372971, 0.00276433, 0.000963289, 8.474e-06, 18854, 13894, 432
0.00377535, 0.00271172, 0.00106133, 7.265e-06, 19231, 13565, 351
0.00295659, 0.00207841, 0.000877171, 9.398e-06, 20541, 13339, 594
0.00396393, 0.00276955, 0.00119273, 7.71e-06, 20778, 12654, 270
0.00294091, 0.00226828, 0.000671606, 6.917e-06, 20887, 12608, 270
0.00287236, 0.00224249, 0.000628741, 4.203e-06, 21093, 11939, 189
0.00194618, 0.00152349, 0.000422102, 3.3e-06, 21557, 13554, 243
0.003262, 0.00254566, 0.000714313, 6.556e-06, 21390, 13894, 324
0.00344613, 0.00271301, 0.000730863, 4.374e-06, 20776, 13951, 216
0.00337125, 0.00260011, 0.000769454, 6.622e-06, 20029, 14778, 297
0.00325802, 0.00220658, 0.00105031, 9.489e-06, 20095, 15926, 648
0.00207781, 0.00143544, 0.0006415, 8.009e-06, 20055, 16696, 810
0.00410232, 0.00284349, 0.0012569, 1.4139e-05, 19826, 17377, 729
0.00411222, 0.00288986, 0.0012205, 1.5604e-05, 20131, 17991, 918
0.00315603, 0.00213275, 0.00102234, 1.9979e-05, 20285, 16728, 1593
0.00380457, 0.00268694, 0.00111665, 2.2854e-05, 20442, 17059, 1404
0.00388428, 0.00270868, 0.00117442, 2.6143e-05, 20646, 16814, 1620
0.00130985, 0.000982745, 0.000326565, 5.372e-06, 20880, 17009, 648
0.00387572, 0.00282082, 0.00105318, 1.8208e-05, 21275, 17135, 864
0.00312885, 0.00212965, 0.000998252, 1.6751e-05, 21864, 16981, 1269
0.00287639, 0.00217401, 0.000700765, 1.1926e-05, 22146, 16445, 972
0.00469765, 0.00326027, 0.00143477, 2.361e-05, 22190, 15959, 837
0.00379916, 0.00276668, 0.00103058, 1.5977e-05, 22321, 15697, 945
0.00278944, 0.00203421, 0.000754407, 1.3253e-05, 22115, 14890, 1053
0.00249493, 0.0018455, 0.000648039, 7.893e-06, 22153, 14752, 567
0.00418051, 0.00306042, 0.0011172, 1.6231e-05, 22207, 15214, 810
0.00418649, 0.00307877, 0.00110533, 1.537e-05, 22275, 14506, 648
0.00365851, 0.00251905, 0.00113824, 1.4458e-05, 22412, 14827, 783
0.00424687, 0.00283869, 0.00140693, 2.1476e-05, 21955, 13723, 1080
0.00387215, 0.00254333, 0.00132718, 1.2741e-05, 21857, 13165, 594
0.00382168, 0.00226104, 0.00155913, 1.5452e-05, 21662, 12520, 756
0.00381356, 0.00215809, 0.00165449, 1.9624e-05, 21467, 11572, 1269
0.00477552, 0.00254686, 0.00222596, 3.0278e-05, 21188, 11019, 945
0.00191863, 0.00112385, 0.000794311, 1.0831e-05, 21481, 11849, 1350
0.00523096, 0.00319062, 0.00203648, 2.8576e-05, 21012, 12006, 1323
0.00343085, 0.00180096, 0.00162906, 2.1175e-05, 19486, 11899, 1539
0.0053628, 0.00286708, 0.00249205, 4.53e-05, 19665, 12929, 1512
0.00427403, 0.00223698, 0.00203605, 2.5313e-05, 19461, 14090, 1485
0.00377012, 0.00226633, 0.00150274, 1.9901e-05, 19187, 13229, 1080
0.00369877, 0.00190479, 0.00179282, 2.3259e-05, 18658, 14550, 1566
0.0039884, 0.00242045, 0.0015666, 2.3844e-05, 18693, 14601, 1323
0.00358909, 0.00220375, 0.00138337, 2.1126e-05, 18670, 14652, 1188
0.00367004, 0.00251473, 0.0011532, 1.5441e-05, 18655, 14511, 864
0.00279889, 0.00172636, 0.00107184, 1.6326e-05, 18613, 14167, 1188
0.00127846, 0.000793036, 0.000485121, 8.196e-06, 18610, 14769, 1269
0.00435255, 0.00279652, 0.00155331, 2.0018e-05, 19101, 15828, 1080
